text,label
Donasi ke masjid Al-Hikmah,donation
Kirim infak ke yatim piatu,donation
Zakat fitrah dibayarkan,donation
Sedekah ke pengemis,donation
Sumbangan renovasi masjid,donation
Donasi korban banjir,donation
Bayar zakat mal,donation
Donasi ke gereja,donation
Infak ke panti asuhan,donation
Sedekah buat anak jalanan,donation
Sumbangan pembangunan sekolah,donation
Donasi untuk Palestina,donation
Zakat penghasilan,donation
Infak di masjid,donation
Sedekah ke warung makan gratis,donation
Donasi bencana gempa,donation
Bayar infak Jumat,donation
Sumbangan pembuatan sumur,donation
Donasi untuk korban perang,donation
Zakat harta,donation
Infak ke panti jompo,donation
Sedekah ke tetangga,donation
Donasi pembangunan musholla,donation
Bayar zakat profesi,donation
Sumbangan bantuan pendidikan,donation
Donasi untuk PMI,donation
Infak di bulan Ramadhan,donation
Sedekah di hari Jumat,donation
Donasi buat yatim,donation
Bayar infak qurban,donation
Sumbangan bedah rumah,donation
Donasi untuk yayasan,donation
Zakat emas,donation
Infak ke fakir miskin,donation
Sedekah ke panti,donation
Donasi bantuan logistik,donation
Bayar zakat pertanian,donation
Sumbangan pengobatan gratis,donation
Donasi untuk anak yatim,donation
Infak di malam Ramadhan,donation
Sedekah ke orang tua,donation
Donasi untuk pendidikan,donation
Bayar infak hari raya,donation
Sumbangan lapangan olahraga,donation
Donasi bantuan sembako,donation
Zakat profesi dibayar,donation
Infak ke dhuafa,donation
Sedekah ke musafir,donation
Donasi pembangunan taman,donation
Bayar zakat mal tahunan,donation
Sumbangan beasiswa,donation
Donasi untuk korban kekeringan,donation
Infak di hari Jumat,donation
Sedekah ke anak,donation
Donasi untuk refugee,donation
Bayar infak nisfu syaban,donation
Sumbangan perpustakaan,donation
Donasi bencana tsunami,donation
Zakat saham,donation
Infak ke kemanusiaan,donation
Sedekah ke guru,donation
Donasi untuk masjid,donation
Bayar zakat perdagangan,donation
Sumbangan sarana ibadah,donation
Donasi korban banjir bandang,donation
Infak di bulan puasa,donation
Sedekah ke ustaz,donation
Donasi untuk gereja,donation
Bayar zakat ternak,donation
Sumbangan ambulans,donation
Donasi untuk dhuafa,donation
Infak di malam Lailatul Qadar,donation
Sedekah ke anak yatim,donation
Donasi untuk pembangunan PAUD,donation
Bayar infak idul fitri,donation
Sumbangan posyandu,donation
Donasi bencana longsor,donation
Zakat deposit,donation
Infak ke pengungsi,donation
Sedekah ke janda,donation
Donasi untuk korban kebakaran,donation
Bayar zakat deposito,donation
Sumbangan kursi roda,donation
Donasi untuk fakir,donation
Infak di hari Arafah,donation
Sedekah ke kyai,donation
Donasi untuk pembangunan madrasah,donation
Bayar infak taqwa,donation
Sumbangan dapur umum,donation
Donasi untuk anak sekolah,donation
Zakat saham dibayar,donation
Infak ke bencana alam,donation
Sedekah ke lansia,donation
Donasi untuk pengungsi,donation
Bayar zakat perak,donation
Sumbangan fasilitas kesehatan,donation
Donasi untuk korban erupsi,donation
Infak di bulan Safar,donation
Sedekah ke saudara,donation
Donasi untuk pembangunan TPQ,donation
Bayar infak majelis taklim,donation
Sumbangan panti rehabilitasi,donation
Donasi untuk yayasan anak,donation
Zakat perusahaan,donation
Infak ke orang sakit,donation
Sedekah ke orang miskin,donation
Donasi untuk korban tanah longsor,donation
Sumbangan perbaikan masjid,donation
Donasi untuk para korban,donation
Infak di hari tasyrik,donation
Sedekah ke nelayan,donation
Bayar infak pembangunan,donation
Sumbangan peralatan sekolah,donation
Donasi untuk anak terlantar,donation
Zakat hasyir,donation
Infak ke petani,donation
Sedekah ke peternak,donation
Donasi untuk renovasi gereja,donation
Bayar zakat tani,donation
Sumbangan kursus gratis,donation
Donasi untuk korban gempa,donation
Infak di hari raya,donation
Sedekah ke pembantu,donation
Donasi untuk tunawisma,donation
Bayar infak kemanusiaan,donation
Sumbangan bantuan korban,donation
Donasi untuk panti asuhan,donation
Zakat fitrah dibayar,donation
Infak ke buruh,donation
Sedekah ke anak jalanan,donation
Donasi untuk pembangunan,donation
Bayar zakat emas,donation
Sumbangan makanan,donation
Donasi untuk palestina,donation
Infak di malam Jumat,donation
Sedekah ke jamaah,donation
Donasi untuk bencana alam,donation
Bayar infak idul adha,donation
Sumbangan pakaian,donation
Zakat perusahaan dibayar,donation
Infak ke para dhuafa,donation
Sedekah ke kakek nenek,donation
