text,label
Bayar listrik PLN,bills
Token listrik PLN,bills
Bayar Air PAM,bills
Tagihan PDAM,bills
Bayar IndiHome,bills
Bayar Biznet,bills
Pulsa Telkomsel,bills
Pulsa XL,bills
Pulsa Indosat,bills
Pulsa Tri,bills
Isi token listrik,bills
Bayar WiFi rumah,bills
Tagihan internet,bills
Bayar TV kabel,bills
Bayar BPJS,bills
Tagihan listrik bulan ini,bills
Tagihan air,bills
Bayar internet MyRepublic,bills
Langganan telepon rumah,bills
Bayar paket internet,bills
Spotify Premium,entertainment
Netflix Subscription,entertainment
Disney Plus,entertainment
Youtube Premium,entertainment
Bioskop XXI,entertainment
CGV Cinema,entertainment
Top Up Mobile Legends,entertainment
Steam Wallet,entertainment
Pembelian game Steam,entertainment
Langganan Vidio,entertainment
Spotify Family,entertainment
Apple Music,entertainment
Nonton konser,entertainment
Tiket Dufan,entertainment
Langganan Prime Video,entertainment
Rumah Sakit Hermina,healthcare
Konsultasi dokter,healthcare
Medical Checkup,healthcare
Beli Vitamin C,healthcare
Apotek Kimia Farma,healthcare
Apotek K24,healthcare
Tes darah,healthcare
Dokter Gigi,healthcare
Rumah Sakit Mitra Keluarga,healthcare
Pembelian obat,healthcare
BPJS Kesehatan,healthcare
Rapid Test,healthcare
Vaksin Influenza,healthcare
Periksa mata,healthcare
Fisioterapi,healthcare
Gaji Bulanan,income
Transfer Gaji,income
Salary Received,income
Payroll,income
Bonus Tahunan,income
Bonus Kinerja,income
THR,income
Pendapatan Freelance,income
Project Freelance,income
Komisi Penjualan,income
Transfer dari Klien,income
Pembayaran Proyek,income
Pendapatan Usaha,income
Keuntungan Penjualan,income
Bunga Tabungan,income
Cashback Shopee,income
Cashback Tokopedia,income
Refund Pembelian,income
Insentif Bulanan,income
Honor Mengajar,income
Transfer ke Teman,transfer
Transfer Antar Rekening,transfer
Top Up OVO,transfer
Top Up GoPay,transfer
Top Up DANA,transfer
Transfer Bank BCA,transfer
Transfer Bank Mandiri,transfer
Transfer Bank BNI,transfer
