text,label
Belanja sembako,food
GoFood,food
Kopi,food
Shopee,shopping
Elektronik,shopping
Parkir,transport
Tol,transport
Bus Transjakarta,transport
GrabFood,food
Game online,entertainment
Makan malam,food
KRL,transport
Sepatu,shopping
Spotify,entertainment
Donasi,bills
Jajan,food
BPJS tambahan,healthcare
Sarapan,food
Bensin,transport
GoRide,transport
Tokopedia,shopping
Makan siang,food
GrabCar,transport
Pulsa,bills
Air PAM,bills
Vitamin,healthcare
Bioskop,entertainment
Arisan,bills
Angkot,transport
Listrik,bills
Dokter,healthcare
Perabot rumah,shopping
Internet,bills
Gym,healthcare
Netflix,entertainment
Liburan,entertainment
Kado,bills
Baju,shopping
Karaoke,entertainment
Apotek,healthcare
