text,label
Parkir,bills
Iuran Bulanan,bills
Streaming,entertainment
Warung Nasi,food
Internet,bills
Gofood,food
Tissue,shopping
Alfamart,shopping
Bioskop,entertainment
Makan Siang,food
Belanja Mingguan,shopping
Cemilan,food
Bonus,income
Jajan Sore,food
Top up Game,entertainment
Investasi,investment
Cashback,investment
Bunga Bank,investment
Air,bills
BPJS,bills
Pulsa,bills
Insentif,income
Kopi Pagi,food
Tabungan,investment
Main Ke Mall,entertainment
Indomaret,shopping
Makan Malam,food
Listrik,bills
Kebutuhan Pokok,shopping
Sabun,shopping
Gaji Bulanan,income
Freelance Project,income
