text,label
Pembayaran restoran sebesar Rp 48698 via UPI Ref 388389,food
Pembelian tiket kereta sebesar Rp 9244 via UPI Ref 872246,travel
Pembelian paket makan siang sebesar Rp 5797 via UPI Ref 719176,food
SIP reksa dana sebesar Rp 2052 via UPI Ref 198246,investment
Pembelian tiket kereta sebesar Rp 33218 via UPI Ref 731262,travel
Pembelian paket makan siang sebesar Rp 13131 via UPI Ref 850800,food
Belanja supermarket sebesar Rp 14546 via UPI Ref 571029,shopping
Pembelian di toko elektronik sebesar Rp 525 via UPI Ref 895667,shopping
Pemesanan hotel sebesar Rp 22398 via UPI Ref 391369,travel
Pembelian tiket kereta sebesar Rp 22159 via UPI Ref 207175,travel
Transaksi di restoran pizza sebesar Rp 6438 via UPI Ref 476417,food
Cicilan pinjaman pribadi sebesar Rp 17435 via UPI Ref 946335,loan
Makan malam di hotel sebesar Rp 35242 via UPI Ref 230889,food
SIP reksa dana sebesar Rp 36278 via UPI Ref 407419,investment
Transaksi belanja online sebesar Rp 37937 via UPI Ref 301629,shopping
Pembayaran restoran sebesar Rp 43436 via UPI Ref 338968,food
Potongan cicilan pinjaman sebesar Rp 15356 via UPI Ref 205907,loan
Pendanaan akun demat sebesar Rp 29814 via UPI Ref 766563,investment
Pembayaran cicilan kartu kredit sebesar Rp 24360 via UPI Ref 472528,loan
Pemesanan bus sebesar Rp 46094 via UPI Ref 816751,travel
Pengiriman makanan Zomato sebesar Rp 35105 via UPI Ref 864544,food
Pemesanan tiket pesawat sebesar Rp 30394 via UPI Ref 497887,travel
Potongan cicilan ponsel sebesar Rp 45199 via UPI Ref 684004,loan
Isi ulang metro sebesar Rp 3765 via UPI Ref 340174,travel
Pembayaran toko roti sebesar Rp 26390 via UPI Ref 380746,food
Tagihan kafe sebesar Rp 37270 via UPI Ref 852787,food
Pembayaran cicilan kartu kredit sebesar Rp 43054 via UPI Ref 623481,loan
Deposito berjangka sebesar Rp 30171 via UPI Ref 249811,investment
Pembayaran cicilan kartu kredit sebesar Rp 16262 via UPI Ref 881177,loan
Pembelian di toko elektronik sebesar Rp 49056 via UPI Ref 712982,shopping
Investasi obligasi emas sebesar Rp 26275 via UPI Ref 479580,investment
Pemesanan tiket pesawat sebesar Rp 33492 via UPI Ref 617488,travel
Pembayaran restoran sebesar Rp 7285 via UPI Ref 260265,food
Pemesanan hotel sebesar Rp 39186 via UPI Ref 166613,travel
Pembelian kripto sebesar Rp 39152 via UPI Ref 590785,investment
Pembelian di toko elektronik sebesar Rp 36356 via UPI Ref 112038,shopping
Pembelian paket makan siang sebesar Rp 49309 via UPI Ref 379786,food
Potongan cicilan pinjaman sebesar Rp 19334 via UPI Ref 555884,loan
Pembayaran agen perjalanan sebesar Rp 312 via UPI Ref 857168,travel
Cicilan pinjaman pribadi sebesar Rp 11808 via UPI Ref 632342,loan
Pembelian di toko kelontong sebesar Rp 41974 via UPI Ref 632323,food
Pembayaran toko pakaian sebesar Rp 10116 via UPI Ref 492077,shopping
Pembayaran pom bensin sebesar Rp 34857 via UPI Ref 100599,travel
Transaksi belanja online sebesar Rp 32121 via UPI Ref 120422,shopping
Pembayaran toko roti sebesar Rp 20253 via UPI Ref 351083,food
Tagihan kafe sebesar Rp 37282 via UPI Ref 182582,food
Makan malam di hotel sebesar Rp 4635 via UPI Ref 897549,food
